step,defend_reward,attack_reward,defend_kl,attack_kl,defend_grad_norm,attack_grad_norm
0,-1.902141809463501,1.902141809463501,0.021050333976745605,0.0238877534866333,0.73828125,0.74609375
1,-2.270650863647461,2.270650863647461,0.022216767072677612,0.028767496347427368,0.6484375,0.70703125
2,-7.371709823608398,7.5547776222229,0.136431485414505,0.2006278783082962,0.59765625,0.71484375
3,-3.285281181335449,3.2458536624908447,0.19144409894943237,0.16263654828071594,0.734375,0.84375
4,-1.5917723178863525,1.5322117805480957,0.16292250156402588,0.17120087146759033,0.734375,0.70703125
5,-3.1838455200195312,3.1448259353637695,0.15387356281280518,0.13516005873680115,0.66796875,0.67578125
6,-2.9466538429260254,2.9407832622528076,0.14459839463233948,0.13764137029647827,0.640625,0.59375
7,-11.244769096374512,11.284811019897461,0.2106504887342453,0.17638514935970306,0.76171875,0.7890625
8,-9.611980438232422,9.53332233428955,0.14285841584205627,0.20277021825313568,0.765625,0.71484375
9,-4.728143692016602,4.740612030029297,0.17867133021354675,0.1329701542854309,0.78515625,0.78125
10,-0.612485408782959,0.3994107246398926,0.14304949343204498,0.1591959297657013,0.71875,0.78125
11,-3.337735176086426,3.3258843421936035,0.12917104363441467,0.17102867364883423,0.82421875,0.7265625
12,-6.5493388175964355,6.5498199462890625,0.28464728593826294,0.2138654887676239,2.5625,1.1796875
13,-0.41259777545928955,0.4590398073196411,0.14101876318454742,0.1470840573310852,0.73046875,0.7421875
14,-0.15708017349243164,0.1662435531616211,0.1573542058467865,0.13672161102294922,0.89453125,0.71875
15,-3.2739179134368896,3.27407169342041,0.1374555230140686,0.13862410187721252,0.6875,0.68359375
16,-1.7676630020141602,1.6964232921600342,0.14478152990341187,0.16453036665916443,0.55078125,0.7578125
17,-10.130304336547852,10.19401741027832,0.17961564660072327,0.15498122572898865,0.85546875,0.80078125
18,0.6748108863830566,-0.7376127243041992,0.18076500296592712,0.12159852683544159,0.7109375,0.859375
19,-1.164419174194336,1.096099615097046,0.12843021750450134,0.15004204213619232,0.7109375,0.73828125
20,-9.369738578796387,9.268908500671387,0.13018842041492462,0.15890100598335266,0.65625,0.73046875
21,-3.811511516571045,3.7392704486846924,0.14538641273975372,0.13539882004261017,0.66796875,0.6640625
22,-3.108034133911133,3.1934897899627686,0.1574876457452774,0.15260474383831024,0.65625,0.8203125
23,-0.76661217212677,0.809669017791748,0.18543407320976257,0.13474474847316742,0.65625,0.6875
24,-6.6366753578186035,6.605377674102783,0.19228780269622803,0.17090389132499695,0.76953125,0.8125
25,-4.895605087280273,4.861498832702637,0.18298529088497162,0.16524764895439148,0.8125,0.765625
26,-2.7175533771514893,2.7528481483459473,0.1445954144001007,0.19148024916648865,0.69921875,0.78515625
27,-5.344743728637695,5.220494270324707,0.17815887928009033,0.13164740800857544,0.7265625,0.66796875
28,-1.5360627174377441,1.5555894374847412,0.16281428933143616,0.17811381816864014,0.65625,0.671875
29,-2.5560731887817383,2.4669320583343506,0.16958443820476532,0.19056448340415955,0.7265625,0.83984375
30,-4.5160017013549805,4.497720718383789,0.18686345219612122,0.11664608120918274,0.77734375,0.890625
31,-4.747663497924805,4.743438243865967,0.16572585701942444,0.16145731508731842,0.57421875,0.66015625
32,-1.6461772918701172,1.698430061340332,0.11323562264442444,0.18418818712234497,0.7265625,0.8125
33,-2.3519434928894043,2.4704430103302,0.12432023882865906,0.19052191078662872,0.68359375,0.73046875
34,-3.247316837310791,3.3729844093322754,0.1741410195827484,0.16981486976146698,0.703125,0.7109375
35,-3.8068017959594727,3.9166884422302246,0.13940313458442688,0.13219556212425232,0.71875,0.69921875
36,-4.950798988342285,4.905050754547119,0.1681600660085678,0.17107750475406647,0.78125,0.703125
37,-5.708358287811279,5.750950813293457,0.11729148030281067,0.15507158637046814,0.68359375,0.65625
38,-10.076053619384766,10.215203285217285,0.18490482866764069,0.19274257123470306,0.78125,0.84765625
39,-7.53726863861084,7.635997772216797,0.17108824849128723,0.16703590750694275,0.62890625,0.6640625
40,-5.616087913513184,5.712735176086426,0.158284530043602,0.16928955912590027,0.66015625,0.71875
41,-7.657125473022461,7.857748031616211,0.20017656683921814,0.1907241940498352,0.8046875,0.68359375
42,-3.009126663208008,3.0249850749969482,0.14441841840744019,0.17104479670524597,0.6171875,0.69140625
43,-1.2927517890930176,1.3996458053588867,0.19533708691596985,0.19352346658706665,0.796875,0.83203125
44,-4.628418445587158,4.56075382232666,0.1572040319442749,0.18013668060302734,0.6953125,0.921875
45,-3.8055810928344727,3.7897636890411377,0.15473276376724243,0.15191659331321716,0.765625,0.765625
46,-4.247117042541504,4.185884952545166,0.16207246482372284,0.1505405306816101,0.6484375,0.7109375
47,-8.772645950317383,8.764674186706543,0.17417143285274506,0.1956547051668167,0.7890625,0.921875
48,-10.0079927444458,10.04175853729248,0.15195830166339874,0.17480126023292542,0.6796875,0.671875
49,-11.866716384887695,11.835329055786133,0.1477818489074707,0.18032565712928772,0.75,0.82421875
50,-9.524724960327148,9.7795991897583,0.14106802642345428,0.19484323263168335,0.69140625,0.765625
51,-9.84277629852295,9.847856521606445,0.14241161942481995,0.1549452841281891,0.85546875,0.96875
52,-6.3720221519470215,6.411836624145508,0.142055481672287,0.14032864570617676,0.6796875,0.80078125
53,-5.771672248840332,5.7733354568481445,0.12780356407165527,0.15072418749332428,0.71484375,0.77734375
54,-3.8790626525878906,3.8312926292419434,0.16506916284561157,0.16441434621810913,0.734375,0.7265625
55,-7.4333391189575195,7.508668899536133,0.15271306037902832,0.15651212632656097,0.76953125,0.6640625
56,-4.857376575469971,4.766557693481445,0.14204664528369904,0.1535426825284958,0.6640625,0.6796875
57,-4.071497917175293,4.1528167724609375,0.14928054809570312,0.12367460131645203,0.5859375,0.671875
58,-1.3442988395690918,1.5008280277252197,0.1498810052871704,0.19481445848941803,0.7890625,0.85546875
59,-3.3832638263702393,3.3471450805664062,0.17192980647087097,0.1358983963727951,0.62109375,0.6796875
60,-5.788656234741211,5.693402290344238,0.12373058497905731,0.17863619327545166,0.6640625,0.6796875
61,-15.44468879699707,15.485339164733887,0.1674862951040268,0.15853458642959595,0.76171875,0.7265625
62,-1.9930367469787598,1.9599699974060059,0.17842021584510803,0.2035699188709259,0.6796875,0.71875
63,-3.8599798679351807,3.7754898071289062,0.19161953032016754,0.14452996850013733,0.70703125,0.73828125
64,-2.982487916946411,2.9456605911254883,0.2178119570016861,0.14510010182857513,0.70703125,0.75
65,-7.716658592224121,7.668712615966797,0.21482616662979126,0.17174938321113586,0.75390625,0.69921875
66,-0.563305139541626,0.6899209022521973,0.2074940800666809,0.1450057029724121,0.80859375,0.9453125
67,-5.901103973388672,5.741131782531738,0.1283634901046753,0.23082329332828522,0.63671875,0.66015625
68,-8.717981338500977,8.66521167755127,0.16306668519973755,0.17128042876720428,0.66015625,0.64453125
69,-3.369372606277466,3.3908956050872803,0.1485280841588974,0.16835394501686096,0.91015625,0.91015625
70,-0.17877197265625,0.07306957244873047,0.13419675827026367,0.15938882529735565,0.55078125,0.6796875
71,-1.978841781616211,2.047642230987549,0.16702792048454285,0.15274816751480103,0.6875,0.6953125
72,-13.077610969543457,12.8804292678833,0.16232317686080933,0.15305671095848083,0.62890625,0.63671875
73,-6.78538703918457,6.8915696144104,0.19655267894268036,0.15402773022651672,0.63671875,0.8046875
74,0.7345048189163208,-0.7486839294433594,0.18183854222297668,0.16577455401420593,0.52734375,0.59765625
75,-1.0600690841674805,1.0628671646118164,0.1484757959842682,0.16006015241146088,0.6015625,0.7265625
76,-2.0431199073791504,2.0316858291625977,0.14675945043563843,0.19555610418319702,0.6328125,0.69921875
77,-5.11502742767334,5.209692478179932,0.1269589215517044,0.09880557656288147,0.55078125,0.51171875
78,-4.074575424194336,4.164863109588623,0.20814025402069092,0.14564043283462524,0.73828125,0.67578125
79,-5.111792087554932,5.106534004211426,0.1328403651714325,0.14249354600906372,0.62109375,0.5625
80,-1.7943122386932373,1.7641725540161133,0.184413880109787,0.17441816627979279,0.6953125,0.7421875
81,-7.923587799072266,7.972164630889893,0.13655652105808258,0.22706080973148346,0.59375,0.65625
82,-3.6524274349212646,3.7123565673828125,0.16449111700057983,0.19923463463783264,0.625,0.71875
