step,wall_time,defend_reward_mean,defend_reward_std,attack_reward_mean,attack_reward_std,defend_kl_mean,attack_kl_mean,defend_loss_approx,attack_loss_approx,defend_grad_norm,attack_grad_norm,lr
150,1774878615.66,-0.8535804748535156,4.619194030761719,0.8036727905273438,4.571987152099609,0.19618338346481323,0.23280803859233856,0.019618337973952293,0.023280804976820946,0.6328125,0.58203125,4.960489019923105e-05
160,1774878911.61,-3.3873798847198486,4.4036545753479,3.429370641708374,4.320281028747559,0.19004692137241364,0.19936761260032654,0.019004693254828453,0.019936760887503624,0.51171875,0.61328125,4.94353973571524e-05
170,1774879207.04,-6.239671230316162,5.909193515777588,6.402677536010742,6.104107856750488,0.17013686895370483,0.1523403376340866,0.017013687640428543,0.015234033577144146,0.546875,0.53515625,4.9236133747378475e-05
180,1774879502.69,-5.420284271240234,6.629761219024658,5.553363800048828,6.660266399383545,0.1652410477399826,0.25246983766555786,0.01652410440146923,0.025246983394026756,0.6015625,0.6640625,4.900734214192358e-05
190,1774879798.77,-4.881555557250977,4.537443161010742,5.078672409057617,4.588102340698242,0.171727254986763,0.24374471604824066,0.01717272587120533,0.024374471977353096,0.6953125,0.6328125,4.874930128811631e-05
200,1774880095.43,-5.613952159881592,7.730807304382324,5.663009166717529,7.819797992706299,0.15426279604434967,0.21524621546268463,0.015426279976963997,0.021524621173739433,0.494140625,0.61328125,4.84623255689889e-05
210,1774880391.58,-1.7373433113098145,3.7572336196899414,1.8556280136108398,3.8760242462158203,0.2098851203918457,0.21426257491111755,0.02098851278424263,0.021426258608698845,0.6171875,0.57421875,4.814676462024988e-05
220,1774880687.13,-6.049357891082764,7.460979461669922,5.986712455749512,7.415782451629639,0.2768670320510864,0.17699837684631348,0.027686703950166702,0.017699837684631348,0.66796875,0.609375,4.780300290430682e-05
230,1774880982.2,-5.721778392791748,5.024943828582764,5.787732124328613,5.2161431312561035,0.2804054915904999,0.24824757874011993,0.028040548786520958,0.024824758991599083,0.62109375,0.59765625,4.743145924185821e-05
240,1774881277.71,-2.8400533199310303,8.796168327331543,2.8963799476623535,8.668407440185547,0.21085017919540405,0.19121940433979034,0.021085018292069435,0.019121941179037094,0.62890625,0.65625,4.70325863016248e-05
250,1774881572.54,-3.337127685546875,3.561206340789795,3.389251708984375,3.453374147415161,0.18080756068229675,0.2158254086971283,0.018080756068229675,0.02158254198729992,0.5078125,0.59765625,4.6606870048842624e-05
260,1774881867.55,0.1671130657196045,2.364229917526245,-0.4041264057159424,2.5433263778686523,0.1819090098142624,0.16113249957561493,0.0181909017264843,0.016113249585032463,0.47265625,0.4921875,4.615482915318911e-05
